Line,U1
~,18,19,1.0
Line,U6
Color,153.0,102.0,51.0
#,Florids\dorf,48.256084,16.400849,-1.0
#,Neue_\Donau,48.246281,16.394708,1.0
#,Handelskai,48.241724,16.385378,1.0
#,Dresdner_\Strasse,48.237222,16.380078,-1.0
#,Jaeger_\Strasse,48.235564,16.368813,-1.0
#,Spittelau,48.235636,16.358449,2.0
#,Nussdorfer_\Strasse,48.231319,16.352462,1.0
#,Waehringer_\Strasse,48.225366,16.349398,2.0
#,Michel\beuern-\AKH,48.221038,16.346691,0.0
#,Alser_\Strasse,48.217124,16.342034,1.0
#,Josef\staedter_\Strasse,48.211419,16.339159,1.0
#,Thalia_\Strasse,48.208287,16.338322,0.0
#,Burggasse_\Stadthalle,48.205034,16.33714,-1.0
#,West\bahnhof,48.196964,16.339144,-1.0
#,Gumpen\dorfer_\Strasse,48.190953,16.337463,1.0
#,Laengen\feld\gasse,48.17937,16.33992,-1.0
#,Niederhof_\Strasse,48.180379,16.331109,-2.0
#,Philadel.\bruecke,48.174319,16.331653,-3.0
#,Tschertte\gasse,48.164969,16.328151,0.0
#,Am_\Schoepf\werk,48.161390,16.324353,1.0
#,Alterlaa,48.150503,16.316856,1.0
#,Erlaaer_\Strasse,48.141574,16.316657,1.0
#,Perfekta_\Strasse,48.136498,16.312945,1.0
#,Sieben\hirten,48.129628,16.309691,1.0
~,0,1,1.0
~,1,2,1.0
~,2,3,1.0
~,3,4,1.0
~,4,5,1.0
~,5,6,1.0
~,6,7,1.0
~,7,8,1.0
~,8,9,1.0
~,9,10,1.0
~,10,11,1.0
~,11,12,1.0
~,12,13,1.0
~,13,14,1.0
~,14,15,1.0
~,15,16,1.0
~,16,17,1.0
~,17,18,1.0
~,18,19,1.0
~,19,20,1.0
~,20,21,1.0
~,21,22,1.0
~,22,23,1.0
End
